"No.","Time","Source","Destination","Protocol","Length","Info"
"2949","12.014987466","206.247.99.130","192.168.129.132","DTLSv1.2","655","Application Data"
"2950","12.022294153","206.247.99.130","192.168.129.132","DTLSv1.2","655","Application Data"
"2951","12.024127102","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2952","12.032330071","206.247.99.130","192.168.129.132","DTLSv1.2","655","Application Data"
"2953","12.042448670","206.247.99.130","192.168.129.132","DTLSv1.2","687","Application Data"
"2954","12.043511106","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2955","12.052631116","206.247.99.130","192.168.129.132","DTLSv1.2","687","Application Data"
"2956","12.056978441","192.168.129.132","206.247.99.130","UDP","123","41445  >  8803 Len=81"
"2957","12.065572220","206.247.99.130","192.168.129.132","DTLSv1.2","687","Application Data"
"2958","12.065983848","192.168.129.132","206.247.99.130","UDP","125","41445  >  8803 Len=83"
"2959","12.066214112","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2960","12.073915441","206.247.99.130","192.168.129.132","UDP","86","8803  >  60413 Len=44"
"2961","12.073915734","206.247.99.130","192.168.129.132","DTLSv1.2","879","Application Data"
"2962","12.078987142","192.168.129.132","206.247.99.130","UDP","123","41445  >  8803 Len=81"
"2963","12.079647377","192.168.129.132","206.247.99.130","UDP","133","41445  >  8803 Len=91"
"2964","12.090122859","192.168.129.132","206.247.99.130","UDP","80","60413  >  8803 Len=38"
"2965","12.095197268","206.247.99.130","192.168.129.132","DTLSv1.2","879","Application Data"
"2966","12.096559252","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2967","12.105790431","206.247.99.130","192.168.129.132","DTLSv1.2","911","Application Data"
"2968","12.116801834","206.247.99.130","192.168.129.132","DTLSv1.2","623","Application Data"
"2969","12.117594238","192.168.129.132","206.247.99.130","UDP","130","41445  >  8803 Len=88"
"2970","12.118105533","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2971","12.121536963","192.168.129.132","206.247.99.130","STUN","158","Binding Request user: EUfaBsMPGQSfvmkX+100:xra+"
"2972","12.125715486","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"2973","12.131116827","192.168.129.132","206.247.99.130","DTLSv1.2","187","Application Data"
"2974","12.132030691","192.168.129.132","206.247.99.130","UDP","118","41445  >  8803 Len=76"
"2975","12.136684030","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"2976","12.142421379","192.168.129.132","134.224.240.25","TLSv1.2","403","Application Data"
"2977","12.143027238","134.224.240.25","192.168.129.132","TCP","60","443  >  49972 [ACK] Seq=266 Ack=539 Win=64240 Len=0"
"2978","12.148134913","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"2979","12.148135253","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"2980","12.154380565","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"2981","12.157700090","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2982","12.158198980","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"2983","12.163894310","206.247.99.130","192.168.129.132","DTLSv1.2","811","Application Data"
"2984","12.173956223","192.168.129.132","206.247.99.130","UDP","117","41445  >  8803 Len=75"
"2985","12.178425680","206.247.99.130","192.168.129.132","UDP","86","8803  >  60413 Len=44"
"2986","12.182519427","192.168.129.132","206.247.99.130","UDP","120","41445  >  8803 Len=78"
"2987","12.183089867","192.168.129.132","206.247.99.130","UDP","131","41445  >  8803 Len=89"
"2988","12.186801286","206.247.99.130","192.168.129.132","DTLSv1.2","843","Application Data"
"2989","12.186802022","206.247.99.130","192.168.129.132","DTLSv1.2","811","Application Data"
"2990","12.188015243","192.168.129.132","206.247.99.130","DTLSv1.2","103","Application Data"
"2991","12.198044355","192.168.129.132","206.247.99.130","UDP","172","41445  >  8803 Len=130"
"2992","12.210371657","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"2993","12.210372180","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
