"No.","Time","Source","Destination","Protocol","Length","Info"
"616","6.657184980","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=4834211 Ack=38501 Win=64240 Len=0"
"617","6.657583691","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=4834211 Ack=39327 Win=64240 Len=0"
"618","6.673271555","212.143.195.14","192.168.129.132","TLSv1.2","1555","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"619","6.673582248","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=39327 Ack=4835712 Win=65535 Len=0"
"620","7.590587063","192.168.129.132","142.250.75.97","TCP","54","53550  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"621","7.591168372","192.168.129.132","142.250.75.163","TCP","54","35152  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"622","7.591319628","192.168.129.132","142.250.75.174","TCP","54","38092  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"623","7.591462111","192.168.129.132","142.250.102.188","TCP","54","36242  >  5228 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"624","7.591716031","142.250.75.97","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  53550 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"625","7.591716213","142.250.75.163","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  35152 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"626","7.591716313","142.250.75.174","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  38092 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"627","7.591716394","142.250.102.188","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 5228  >  36242 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"628","9.550105471","192.168.129.132","142.250.75.174","TLSv1.2","176","Application Data"
"629","9.550579146","142.250.75.174","192.168.129.132","TCP","60","443  >  38102 [ACK] Seq=1 Ack=123 Win=64240 Len=0"
"630","9.550763562","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"631","9.551008611","192.168.129.132","142.250.75.174","TLSv1.2","2788","Application Data"
"632","9.551080773","142.250.75.174","192.168.129.132","TCP","60","443  >  38102 [ACK] Seq=1 Ack=162 Win=64240 Len=0"
"633","9.551610883","142.250.75.174","192.168.129.132","TCP","60","443  >  38102 [ACK] Seq=1 Ack=1622 Win=64240 Len=0"
"634","9.551611345","142.250.75.174","192.168.129.132","TCP","60","443  >  38102 [ACK] Seq=1 Ack=2896 Win=64240 Len=0"
"635","9.557248751","142.250.75.174","192.168.129.132","TLSv1.2","93","Application Data"
"636","9.597513094","192.168.129.132","142.250.75.174","TCP","54","38102  >  443 [ACK] Seq=2896 Ack=40 Win=65535 Len=0"
"637","9.654149152","142.250.75.174","192.168.129.132","TLSv1.2","993","Application Data, Application Data, Application Data, Application Data"
"638","9.654242134","192.168.129.132","142.250.75.174","TCP","54","38102  >  443 [ACK] Seq=2896 Ack=979 Win=65535 Len=0"
"639","9.655719935","142.250.75.174","192.168.129.132","TLSv1.2","93","Application Data"
"640","9.655757455","192.168.129.132","142.250.75.174","TCP","54","38102  >  443 [ACK] Seq=2896 Ack=1018 Win=65535 Len=0"
"641","9.657030827","192.168.129.132","142.250.75.174","TLSv1.2","89","Application Data"
"642","9.657306109","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"643","9.657510491","142.250.75.174","192.168.129.132","TCP","60","443  >  38102 [ACK] Seq=1018 Ack=2931 Win=64240 Len=0"
"644","9.657510851","142.250.75.174","192.168.129.132","TCP","60","443  >  38102 [ACK] Seq=1018 Ack=2970 Win=64240 Len=0"
"645","9.977368184","192.168.129.132","142.250.75.174","TLSv1.2","3700","Application Data"
"646","9.978078587","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=3519 Ack=30054 Win=64240 Len=0"
"647","9.978079000","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=3519 Ack=31514 Win=64240 Len=0"
"648","9.978079048","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=3519 Ack=32240 Win=64240 Len=0"
"649","10.058721440","142.250.75.174","192.168.129.132","TLSv1.2","195","Application Data, Application Data, Application Data"
"650","10.059579914","192.168.129.132","142.250.75.174","TLSv1.2","93","Application Data"
"651","10.060235702","142.250.75.174","192.168.129.132","TCP","60","443  >  34372 [ACK] Seq=3660 Ack=32279 Win=64240 Len=0"
