"No.","Time","Source","Destination","Protocol","Length","Info"
"55","0.694831453","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=3006 Win=64240 Len=0"
"56","0.695161549","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=4466 Win=64240 Len=0"
"57","0.695161651","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=1 Ack=4984 Win=64240 Len=0"
"58","0.750422300","192.168.129.132","199.232.82.251","TLSv1.2","203","Application Data"
"59","0.751246784","199.232.82.251","192.168.129.132","TCP","60","443  >  39902 [ACK] Seq=1 Ack=150 Win=64240 Len=0"
"60","0.771789126","35.186.224.26","192.168.129.132","TLSv1.2","289","Application Data, Application Data"
"61","0.772012175","35.186.224.26","192.168.129.132","TLSv1.2","93","Application Data"
"62","0.772268886","192.168.129.132","35.186.224.26","TCP","54","43926  >  443 [ACK] Seq=4984 Ack=275 Win=65535 Len=0"
"63","0.773525630","192.168.129.132","35.186.224.26","TLSv1.2","89","Application Data"
"64","0.774022110","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=275 Ack=5019 Win=64240 Len=0"
"65","0.774468451","192.168.129.132","35.186.224.26","TLSv1.2","93","Application Data"
"66","0.774812990","35.186.224.26","192.168.129.132","TCP","60","443  >  43926 [ACK] Seq=275 Ack=5058 Win=64240 Len=0"
"67","0.799040575","199.232.82.251","192.168.129.132","TLSv1.2","7422","Application Data"
"68","0.799087956","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=7369 Win=65535 Len=0"
"69","0.799409668","199.232.82.251","192.168.129.132","TCP","7314","443  >  39902 [PSH, ACK] Seq=7369 Ack=150 Win=64240 Len=7260 [TCP PDU reassembled in 71]"
"70","0.799439847","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=14629 Win=65535 Len=0"
"71","0.801505624","199.232.82.251","192.168.129.132","TLSv1.2","7314","Application Data"
"72","0.801686865","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=21889 Win=65535 Len=0"
"73","0.803575448","199.232.82.251","192.168.129.132","TCP","7314","443  >  39902 [PSH, ACK] Seq=21889 Ack=150 Win=64240 Len=7260 [TCP PDU reassembled in 75]"
"74","0.803725079","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=29149 Win=65535 Len=0"
"75","0.805561584","199.232.82.251","192.168.129.132","TLSv1.2","29094","Application Data, Application Data"
"76","0.805609934","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=58189 Win=65535 Len=0"
"77","0.807280837","199.232.82.251","192.168.129.132","TLSv1.2","14574","Application Data, Application Data"
"78","0.807335767","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=72709 Win=65535 Len=0"
"79","0.808291728","199.232.82.251","192.168.129.132","TCP","7314","443  >  39902 [PSH, ACK] Seq=72709 Ack=150 Win=64240 Len=7260 [TCP PDU reassembled in 81]"
"80","0.808392662","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=79969 Win=65535 Len=0"
"81","0.810983786","199.232.82.251","192.168.129.132","TLSv1.2","13122","Application Data"
"82","0.811122162","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=93037 Win=65535 Len=0"
"83","0.811306846","199.232.82.251","192.168.129.132","TLSv1.2","7314","Application Data"
"84","0.811335411","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=100297 Win=65535 Len=0"
"85","0.811608536","199.232.82.251","192.168.129.132","TCP","7314","443  >  39902 [PSH, ACK] Seq=100297 Ack=150 Win=64240 Len=7260 [TCP PDU reassembled in 89]"
"86","0.811633630","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=107557 Win=65535 Len=0"
"87","0.812058918","199.232.82.251","192.168.129.132","TCP","2958","443  >  39902 [PSH, ACK] Seq=107557 Ack=150 Win=64240 Len=2904 [TCP PDU reassembled in 89]"
"88","0.812087417","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=110461 Win=65535 Len=0"
"89","0.813638960","199.232.82.251","192.168.129.132","TLSv1.2","11670","Application Data"
"90","0.813679562","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=122077 Win=65535 Len=0"
"91","0.815455183","199.232.82.251","192.168.129.132","TLSv1.2","14574","Application Data, Application Data"
"92","0.815509242","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=136597 Win=65535 Len=0"
"93","0.816469503","199.232.82.251","192.168.129.132","TCP","7314","443  >  39902 [PSH, ACK] Seq=136597 Ack=150 Win=64240 Len=7260 [TCP PDU reassembled in 95]"
"94","0.816515165","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=143857 Win=65535 Len=0"
"95","0.819179865","199.232.82.251","192.168.129.132","TLSv1.2","20382","Application Data"
"96","0.819305178","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=164185 Win=65535 Len=0"
"97","0.819499823","199.232.82.251","192.168.129.132","TLSv1.2","1477","Application Data, Application Data"
"98","0.819526974","192.168.129.132","199.232.82.251","TCP","54","39902  >  443 [ACK] Seq=150 Ack=165608 Win=65535 Len=0"
"99","0.824567923","192.168.129.132","199.232.82.251","TLSv1.2","89","Application Data"
"100","0.825185830","199.232.82.251","192.168.129.132","TCP","60","443  >  39902 [ACK] Seq=165608 Ack=185 Win=64240 Len=0"
"101","0.975671787","192.168.129.132","35.186.224.24","TLSv1.2","2323","Application Data"
