"No.","Time","Source","Destination","Protocol","Length","Info"
"51","8.537320668","35.186.224.24","192.168.129.132","TCP","60","443  >  48832 [ACK] Seq=1 Ack=5924 Win=64240 Len=0"
"52","8.537665816","35.186.224.24","192.168.129.132","TCP","60","443  >  48832 [ACK] Seq=1 Ack=7384 Win=64240 Len=0"
"53","8.537665955","35.186.224.24","192.168.129.132","TCP","60","443  >  48832 [ACK] Seq=1 Ack=7398 Win=64240 Len=0"
"54","8.543353750","35.186.224.24","192.168.129.132","TLSv1.2","93","Application Data"
"55","8.584452436","192.168.129.132","35.186.224.24","TCP","54","48832  >  443 [ACK] Seq=7398 Ack=40 Win=62748 Len=0"
"56","8.631326660","35.186.224.24","192.168.129.132","TLSv1.2","137","Application Data"
"57","8.631456039","192.168.129.132","35.186.224.24","TCP","54","48832  >  443 [ACK] Seq=7398 Ack=123 Win=62665 Len=0"
"58","8.633877211","192.168.129.132","35.186.224.24","TLSv1.2","93","Application Data"
"59","8.634295035","35.186.224.24","192.168.129.132","TCP","60","443  >  48832 [ACK] Seq=123 Ack=7437 Win=64240 Len=0"
"60","10.731043873","192.168.129.132","192.168.129.2","DNS","83","Standard query 0xdf72 A api-partner.spotify.com"
"61","10.731754204","192.168.129.132","192.168.129.2","DNS","83","Standard query 0x552f HTTPS api-partner.spotify.com"
"62","10.739756247","192.168.129.2","192.168.129.132","DNS","158","Standard query response 0xdf72 A api-partner.spotify.com CNAME partners.wg.spotify.com CNAME edge-web.dual-gslb.spotify.com A 35.186.224.24"
"63","10.739756909","192.168.129.2","192.168.129.132","DNS","207","Standard query response 0x552f HTTPS api-partner.spotify.com CNAME partners.wg.spotify.com CNAME edge-web.dual-gslb.spotify.com SOA dns1.p05.nsone.net"
"64","10.740985226","192.168.129.132","192.168.129.2","DNS","90","Standard query 0xc404 HTTPS edge-web.dual-gslb.spotify.com"
"65","10.746977452","192.168.129.132","35.186.224.24","TCP","74","54126  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3359229614 TSecr=0 WS=128"
"66","10.747384145","192.168.129.2","192.168.129.132","DNS","155","Standard query response 0xc404 HTTPS edge-web.dual-gslb.spotify.com SOA dns1.p05.nsone.net"
"67","10.752292746","35.186.224.24","192.168.129.132","TCP","60","443  >  54126 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"68","10.752350830","192.168.129.132","35.186.224.24","TCP","54","54126  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"69","10.752983243","192.168.129.132","35.186.224.24","TLSv1.3","2175","Client Hello (SNI=api-partner.spotify.com)"
"70","10.753798434","35.186.224.24","192.168.129.132","TCP","60","443  >  54126 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"71","10.753798825","35.186.224.24","192.168.129.132","TCP","60","443  >  54126 [ACK] Seq=1 Ack=2122 Win=64240 Len=0"
"72","10.818051013","35.186.224.24","192.168.129.132","TLSv1.3","266","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"73","10.818205243","192.168.129.132","35.186.224.24","TCP","54","54126  >  443 [ACK] Seq=2122 Ack=213 Win=64028 Len=0"
"74","10.823390353","192.168.129.132","35.186.224.24","TLSv1.3","118","Change Cipher Spec, Finished"
"75","10.823931091","192.168.129.132","35.186.224.24","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"76","10.824271637","35.186.224.24","192.168.129.132","TCP","60","443  >  54126 [ACK] Seq=213 Ack=2186 Win=64240 Len=0"
"77","10.824271724","35.186.224.24","192.168.129.132","TCP","60","443  >  54126 [ACK] Seq=213 Ack=2278 Win=64240 Len=0"
